Book Name,Author,Rating,Customers_Rated,Price
CBSE All In One Social Science Class 10 for 2021 Exam,Farah Sultan Madhumita Pattrea,4.4 out of 5 stars,415,₹ 353.00
Mathematics for Class 10 by R D Sharma (Examination 2020-2021),R.D. Sharma,4.5 out of 5 stars,611,₹ 495.00
To Kill A Mockingbird: 50th Anniversary Edition: 60th Anniversary Edition,Harper Lee,4.5 out of 5 stars,"33,298",₹ 219.00
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.4 out of 5 stars,"15,839",₹ 329.00
Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,4.6 out of 5 stars,"1,423",₹ 592.00
The Richest Man in Babylon,George S. Clason,4.4 out of 5 stars,"14,554",₹ 99.00
Public Speaking:15 Days To Master the Greatest Skill of All Time,Bhupenddra Singh Raathore,-1,0,₹ 199.00
Oswaal CBSE Question Bank Class 12 Physics Chapterwise & Topicwise Solved Papers (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,4.6 out of 5 stars,215,₹ 380.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4 out of 5 stars,"1,875",₹ 99.00
Oswaal CBSE Sample Question Paper Class 10 English Language & Literature Book (Reduced Syllabus for 2021 Exam),Oswaal Editorial Board,4.6 out of 5 stars,86,₹ 179.90
RS Agarwal - Quantitative Aptitude + Logical Reasoning,0,4.5 out of 5 stars,402,₹ 663.00
Fast Track Objective Arithmetic,Rajesh Verma,4.4 out of 5 stars,"2,404",₹ 321.00
Lines and Curves (Pattern Writing) - Part 1,Dreamland Publications,4.4 out of 5 stars,"1,541",₹ 80.00
Colour with Crayons Part - 1,Dreamland Publications,4.2 out of 5 stars,"1,521",₹ 56.00
CBSE All In One English Language & Literature Class 10 for 2021 Exam,Arihant Experts,4.5 out of 5 stars,369,₹ 350.00
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"24,187",₹ 75.00
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.4 out of 5 stars,"1,265",₹ 183.60
Very First Sight Words Sentences Level - 2,Dreamland Publications,4.6 out of 5 stars,453,₹ 126.00
My Activity- Phonics Activity Book,Dreamland Publications,4.4 out of 5 stars,527,₹ 80.00
Refreshing Mandala - Colouring Book for Adults Book 1,Dreamland Publications,4.6 out of 5 stars,"2,078",₹ 175.00
"Children's Encyclopedia - Scientists, Inventions And Discoveries: The World of Knowledge",MANASVI VOHRA,4.3 out of 5 stars,825,₹ 127.00
101 Panchatantra Stories,Dreamland Publications,4.3 out of 5 stars,"2,601",₹ 130.00
Eating in the Age of Dieting,Rujuta Diwekar,4.6 out of 5 stars,322,₹ 265.00
CBSE All In One English Core Class 12 for 2021 Exam,Gajendra Singh,4.4 out of 5 stars,295,₹ 332.00
CBSE New Pattern 15 Sample Paper Science Class 10 for 2021 Exam with reduced Syllabus,Dr. Alka Pandey Manish Dangwal,4.3 out of 5 stars,74,₹ 180.00
